21.04.2014;26;33750;Оплата по счету №17 от 09.04.14г.за поисковое продвижение сайта за апрель 2014г. Сумма 33750-00 Без налога (НДС) 
22.04.2014;30;;Комиссия за расчетные операции за 22/04/2014 согласно тарифам Банка. 
22.04.2014;23200;;За услуги рекламы в интернете и поддержки сайта www.injekt-msk.ru по договору № 23 в апреле 2014г. НДС не облагается. Оплата по счету № 116 от 08 апреля 2014 г. 
24.04.2014;13996;;Уплата единого налога УСН за I квартал 2014 г. Без НДС. 
